content,score
aplikasi yang sangat bagus ayo download sekarang 🤗,5
mantul,5
shopee memang TERBAIK,5
kerennnn,5
"penjual banyak abal2,barang DTG sering tidak sesuai deskripsi,pembatalan sepihak uang tidak kembali karena kepencet pesanan di terima tidak sengaja.",1
lebih mudah berbelanja,5
jossd,5
datang pesanan nya lama,4
Aplikator yg tidak memanusiakan para MITRA Driver nya!,1
JANGAN DOWLOD INI LAZADA LEBIH BAGUS DIA ITU CUMAN JUALAN PRODUK RACUN,1
kok shopee saya gak ada flash sale nya ya,4
"sistem shopee terlalu sensitif, Benyak penjual yg tokonya di blokir, kadang nyari barang yg diperlukan malah kagak ada di shopee kadang juga barang sebelumnya ada,eh enggak tau kemudian barangnya dah tokonya di blokir hal hasil pergi ke aplikasi OLSHOP sebelah, shopee ini terlalu banyak peraturan kadang peraturan S-PAY aja diatur secara sepihak 😠😠",2
"Parah...barang yang dateng ga sesuai dengan tipe yang diinginkan,baru sekali coba belanja online aja udh ditipu.KAPOOOOOKK",5
kren,5
bagus,5
mantap,4
"aplikasi ini semaki kurang nyaman, sering keluar sendiri ketika sedang buka, tolong perbaiki lagi",4
menyukai,5
"pengiriman paket sangat lama dengan kurir ShopeeExpress. dari Tangerang Kota ke Kab Tangerang udah sampai sortir kecamatan lokasi saya, ehh ini pagi hari ke 3 terupdate paket tersortir di virtual kota Depok. muter-muter aja terus, ini nanti hari ke 4 baru sampe kecamatan lokasi saya lagi baru dikirim ke alamat tujuan. mending jangan ada lagi iklan Vidi Aldiano GTW ""PALSU"", mending Isyana Sarasvati Lazada ontime",1
cukup bagus..hanya aplikasi agak berat ketika dibuka bila dibanding aplikasi hijau/lazada/buka lapak.,5
Saya sangat puas belanja dishopee.,5
bagus ok,4
cukup Bagus,5
harga yg bersaing dan ngak perlu repot repot bermacet ria cukup di shopee,5
"masih banyak toko yang lama sekali mengirim barangnya, dan sering juga tidak sesuai estimasi yang telah ditentukan semoga hal ini bisa diperbaiki.",3
"kak aku udah donlod apk shope big ramadan tp kok gak bisa dibuka ya, terus saya belanja udah ada 3 pesanan saya lewat shope belanja cuma gak bisa cek riwayat pesanan saya.",3
"makin meresahkan, susah cari driver makanan, pengiriman spx sering molor, masuk aplikasi sering eror. jaringan aman tapi kenapa gabisa load apknya stak gamau jalan tolong ya ditingkatkan lagi, kalo emng gamampu ditingkatkan dihapus aja apknya",3
memuaskan tudak mngecewakan,5
shopee bagus!!,5
"sangat mendukung seperti saya yg tidak bisa,naik motor bisa mempermudah belanja,",5
"Maaf min sya uninstall shopee, opsi pengiriman dihilangkan.. Pengalaman dulu waktu bisa milih, sya pilih jasa pengiriman jnt 1 hari nyampe/hari ini order bayar besuk sampai, tapi karena gak bisa milih.. Pengalaman minggu kemarin, 3 hari baru sampai rumah padhal sama2 1 propinsi",3
mantafff,1
"gak usah sok² jasa kirim nya pke spx semua. super lambattt gak beress. mending kembaliin fitur yg dlu, biar bisa bebas milih jasa kirim yg mau di pake.",1
hai shopee bagaimana cara nya mengambil informasi KTP kita yg di pakai orang lain di shopee,5
tolong upgrade lagi aplikasinya lemmot,4
bagus,4
memudahkan belanja,5
suka dgn shopee,3
-kadang suka mahal sih,3
semakin lama pesanan datang saya harap untuk jasa expedisi nya di perbaiki,4
gk di kasih paylater,1
belanja di shopee puas,5
"aku Ndak bisa komen banyak, yang pasti shoopee jempolan dah...",5
good,5
suka belanja d shopee tapi kalo pesanan sudah bayar lamaaaaaaaa datengnya lah kalo COD lebih cepet😌 kek memprioritaskan COD ketimbang yg udah bayar🤣 gak tau juga cara kerjanya gmn pkoknya lebih cepet COD!!!!,1
mantap,5
Udah kecanduan beli barang di Shopee lanjut teross tanpa henti 😁,5
beli apa aja udah males keluar rumah.. tinggal klik langsung datang. makasih Shopee.,5
pengiriman cepat & blom sempat ngecek barangnya,5
Shopee Express tidak cepat sangat lambat,1
kere,5
Alhamdulillah selama belanja di shopee aman2 saja,5
sangat memuaskan belanja di shopee,5
"sangat menyenangkan belanja d shopee,bnyak gratis ongkir x🤗",5
bisa berbelanja dgn murah dan gratis ongkir,5
"searching beberapa store ga ada, padahal di linknya ada",1
bahan bagus,5
sangat membantu untuk yg ingin belanja Ol,5
karna bagus,5
"Dengan Aplikasi Shopee belanja lebih mudah ,tanpa harus keluar rumah dan desak desakan di Pasar apalagi ada layanan COD CEK DULU ,sangat membantu kami para pelanggan karena kami bisa cek dulu barang yg dikirim oleh seller apakah sesuai dengan pesanan atau tidak nya . Thanks Shoope love you 🫶🏻",5
"belanja di shopee mudah .untuk kebutuhan yg kita butuhkan semua ada di shopee .barang nya pun bagus "" lebih enak nya lagi ada shopee leter ada shopee pay .di aplikasi shopee serba lengkap ..makasih shopee",5
Bagus,5
aplikasi shopee sangat membantu,5
mantaap,5
mengapa setelah melakukan update lebih banyak bug nya? sistem sering error blank page. hadehhh... bukan menuju kemajuan ini mah ....,2
ok,5
"Jelek bangett ya shopee sekarang, checkout semua dibatalkan krna terlalu sering gunain voucher katanya ,, laaaahhhh gak masuk akal... gak usah adain promo voucher lahhh kalau gak mau rugi gitu . aplikasi gak.jelas",1
"belanja lebih hemat, lebih murah",5
"ketika ingin melakukan pembayaran paylater atau shoppepay yang sudah ada saldonya selalu respon downloading.. chat customer service, logout restart hapus chance tetap saja tidak bisa, padahal sebelumnya sering checkout",1
terbaik shoppe,5
tolong kalo pengiman dioptimalkan biar konsumen senang datang tepat waktu,5
"expedisi spx sangat lambat, tapi skrng kbnyakan sama spx sendiri tapi dal hal pengiriman bener bener sangat lambat di kurir nya aja bisa 3 2hari tinggal mnju ke alamat",1
mantab,5
slalu ada diskon stiap harinya,5
makin laggg parah,1
bagus deh,5
Ok,5
Alhamdulillah saya saya sangat suka blanja di shopee karna sangat murah ongkir dan kualitas nya bnyak yg Bagus,5
bagus banget,5
